Latitude,Longitude
55.7467, 37.6123
55.7445, 37.6094
55.7382, 37.6068
55.7346, 37.6
55.7272, 37.5938
55.7198, 37.5861
55.714, 37.5771
55.7119, 37.5706
55.7102, 37.559
55.7111, 37.5525
55.7136, 37.5461
55.7163, 37.5427
55.7233, 37.5415
55.728, 37.5471
55.7349, 37.5632
55.7402, 37.5698
55.7454, 37.5742
55.7455, 37.5767
55.7459, 37.5796
55.7454, 37.5831
55.7438, 37.5838
55.7441, 37.5875
55.7463, 37.5859
55.7468, 37.5877
55.7477, 37.596
55.747, 37.5997
55.7488, 37.6001
55.7486, 37.603
55.7504, 37.6043
55.7486, 37.6108
55.7467, 37.6123

